Feature,Importance
DPC_SM,0.0012734717
DPC_EP,0.0012729224
PseAAC_lambda3,0.0012726492
PseAAC_lambda25,0.001271966
PseAAC_lambda20,0.0012714625
DPC_QQ,0.0012708788
DPC_GA,0.0012695298
DPC_NW,0.0012687574
DPC_FN,0.0012674942
DPC_RL,0.0012649267
DPC_KP,0.0012627639
DPC_MV,0.0012619331
DPC_WN,0.0012579026
DPC_NM,0.0012574224
DPC_AR,0.0012569207
DPC_MA,0.0012535305
DPC_PQ,0.0012529142
PseAAC_lambda18,0.001241188
DPC_VV,0.0012384361
DPC_RR,0.0012354318
DPC_HE,0.0012328106
DPC_MN,0.0012260528
DPC_DS,0.0012177808
PseAAC_lambda30,0.0012167038
DPC_TA,0.0012152134
DPC_LM,0.0012142269
DPC_CQ,0.001208969
DPC_IP,0.0012060596
PseAAC_lambda21,0.0011999751
DPC_DW,0.0011940147
DPC_DL,0.0011925934
DPC_VS,0.0011895344
DPC_TL,0.001186015
DPC_LY,0.0011831174
DPC_GK,0.0011714528
DPC_WV,0.0011591003
DPC_DT,0.0011580002
DPC_VE,0.0011540534
DPC_YT,0.001153582
PseAAC_lambda22,0.0011528454
DPC_QF,0.0011484605
DPC_RQ,0.0011465378
PseAAC_lambda1,0.0011452828
DPC_HR,0.0011446142
DPC_VR,0.0011443418
DPC_CM,0.0011437468
DPC_IF,0.0011336871
DPC_FH,0.0011320832
DPC_VP,0.0011280716
DPC_LP,0.0011229052
DPC_PM,0.0011207456
DPC_WR,0.0011117879
DPC_FP,0.0011042405
DPC_GR,0.0011024938
DPC_QD,0.0011001906
DPC_KN,0.0010968498
DPC_HL,0.0010894754
DPC_KT,0.0010893979
PseAAC_lambda6,0.0010872864
PseAAC_lambda14,0.0010871191
DPC_WL,0.001077702
DPC_HF,0.0010657822
DPC_DP,0.001064652
DPC_RA,0.0010553213
DPC_EM,0.0010488208
DPC_GQ,0.0010417724
DPC_EA,0.0010349804
DPC_HT,0.001034055
DPC_FK,0.001022735
DPC_MC,0.0010216107
DPC_LR,0.001020924
DPC_MG,0.0010093405
DPC_HI,0.0010055202
DPC_KG,0.0010038909
DPC_QP,0.0010032796
DPC_AQ,0.0010029097
DPC_FS,0.0009904914
DPC_RV,0.0009782184
DPC_FE,0.0009777903
DPC_YQ,0.0009773809
DPC_AL,0.0009700566
DPC_SF,0.0009667369
DPC_PD,0.00096352986
DPC_FI,0.00095351564
DPC_NI,0.00095104217
DPC_GC,0.00094452413
DPC_ML,0.00092612975
DPC_NS,0.0009197355
PseAAC_lambda19,0.0009180331
DPC_RM,0.00091766124
DPC_EH,0.0008933262
GRAVY,0.0008816481
Negative_Fraction,0.00087483594
DPC_GF,0.0008653316
DPC_WH,0.0008549263
DPC_SG,0.0008517817
DPC_NH,0.0008435475
DPC_TQ,0.00084038096
DPC_YR,0.00079382304
DPC_TW,0.0007866528
DPC_WF,0.0007689737
DPC_NF,0.00076560245
Repeat_Density,0.0007260541
DPC_KC,0.0007060893
DPC_ES,0.0006825488
PseAAC_lambda16,0.00064529624
DPC_NC,0.00063280907
DPC_SQ,0.00060806907
DPC_MQ,0.00058401574
DPC_HV,0.00055313355
DPC_HP,0.0005272862
DPC_KS,0.0005180985
DPC_WT,0.0004296277
Aliphatic_Index,0.0
SignalPeptide_Length,0.0
