Feature,Importance
DPC_QT,0.0011123312685829892
DPC_FE,0.0011118768445984148
DPC_QQ,0.0011115058635969622
DPC_FK,0.0011009251975714462
DPC_AH,0.001100332689412408
DPC_PK,0.0010941141403226038
DPC_QY,0.0010881545299849021
DPC_KP,0.0010870890948084125
DPC_QP,0.0010861133322785023
DPC_RC,0.0010844677731793595
DPC_PY,0.0010791151613632809
DPC_NS,0.0010754939652388403
DPC_YS,0.00107401294517695
DPC_YL,0.0010672710379957186
DPC_NK,0.0010636873504662272
DPC_MP,0.0010556173872015304
DPC_MA,0.0010555936037651642
DPC_CG,0.0010538313558465437
DPC_YK,0.0010527935643652587
DPC_RN,0.0010491749757166194
DPC_HG,0.0010487685195974673
DPC_YV,0.0010407352517794112
DPC_IF,0.0010396723553584796
DPC_KC,0.0010390221740789324
DPC_CT,0.001038320474712056
DPC_DM,0.0010330852569443323
DPC_DQ,0.0010320863275670657
DPC_FT,0.0010302320172501486
DPC_EQ,0.0010271235753003382
DPC_VY,0.0010261853239691197
DPC_PF,0.0010253332403134922
DPC_TC,0.0010232515147822765
DPC_CD,0.0010215390818983413
DPC_QR,0.0010213923112040312
DPC_CV,0.0010208237155844369
DPC_EM,0.0010193973840852467
DPC_MG,0.0010179547597266249
DPC_EF,0.0010141346029428264
DPC_DP,0.0010064948740583634
DPC_HS,0.0010055185450114838
DPC_RF,0.0010032816865401032
DPC_TQ,0.001003017012561456
DPC_TK,0.0010015006641083512
DPC_YT,0.0009979301080183542
DPC_SF,0.0009920480868432313
DPC_NF,0.000980000145741937
DPC_NQ,0.0009790047283812853
DPC_KY,0.0009787703481207227
DPC_ML,0.0009783486861508041
DPC_YQ,0.0009701274457750698
DPC_HI,0.0009690823477723087
DPC_QD,0.0009656162610455111
DPC_NR,0.0009645396937000985
DPC_NC,0.0009603296191126312
DPC_QF,0.0009594351568010511
DPC_GW,0.0009533795001032334
DPC_YR,0.0009501898537547938
DPC_GH,0.0009478491829335568
DPC_YE,0.0009429828169803548
DPC_RQ,0.0009414459425064088
DPC_VM,0.0009389195962874174
DPC_IK,0.0009353875105354483
DPC_PH,0.0009294758000647427
DPC_HR,0.0009283684135829594
DPC_HC,0.0009273437936558202
DPC_PQ,0.0009223406011698214
DPC_SH,0.0009145027255591087
DPC_HK,0.0009102684463382499
DPC_WS,0.0009058912542219887
DPC_FC,0.0008959496217860225
DPC_SM,0.0008890122137120164
DPC_GC,0.0008872035183182773
DPC_AC,0.0008821832012676971
DPC_YI,0.0008813512310405701
DPC_DH,0.000880468467247436
DPC_VH,0.0008796611397190973
DPC_MD,0.000868048169378739
DPC_RY,0.0008663640135368405
DPC_HV,0.0008645750787147744
DPC_YP,0.0008638502995573936
DPC_EH,0.0008612740976841102
DPC_IW,0.0008586370238662112
DPC_CA,0.0008512660977497186
DPC_AW,0.0008477731766217693
DPC_IH,0.000845719224398553
DPC_HE,0.0008428033957922696
DPC_FF,0.0008408868827237953
DPC_YF,0.0008380160848028492
DPC_QN,0.0008339422598331287
DPC_CN,0.0008333325058837571
DPC_HT,0.0008300288623222622
DPC_TM,0.0008251882724054777
DPC_CI,0.0008249410955741038
DPC_FI,0.0008239828637402055
DPC_MV,0.0008146266807070392
DPC_IY,0.0008143165406036171
DPC_HN,0.0008081857900374419
DPC_FH,0.0008079116204752867
DPC_HP,0.0008061363798779504
DPC_HF,0.0008040700366168518
DPC_NY,0.0008036001738728708
DPC_WL,0.0008005720939026234
DPC_HH,0.0007962045060584693
DPC_WA,0.0007960507475377937
DPC_HQ,0.0007927556071846214
DPC_NH,0.0007872063351096064
DPC_QH,0.0007868097609149933
DPC_DW,0.0007787478326926835
DPC_RM,0.0007786817759040514
DPC_MM,0.0007752683523115567
DPC_KH,0.0007733306226012333
